s, 0x29, pmu, TDEV1, 26.08
1418754826.732s, 0x2A, pmu, TDEV2, 25.64
1418754826.737s, 0x2B, pmu, TDEV3, 24.41
1418754826.742s, 0x2C, pmu, TDEV4, 29.31
1418754946.739s, 0x00, soc, THERMAL0, 28.14
1418754946.739s, 0x01, soc, THERMAL1, 28.98
1418754946.739s, 0x02, soc, CCC_THERMAL0, 28.56
1418754946.739s, 0x03, soc, CCC_THERMAL1, 29.40
1418754946.739s, 0x04, soc, CCC_THERMAL2, 29.40
1418754946.741s, 0x28, pmu, TJINT, 29.71
1418754946.746s, 0x29, pmu, TDEV1, 24.25
1418754946.751s, 0x2A, pmu, TDEV2, 25.71
1418754946.755s, 0x2B, pmu, TDEV3, 24.38
1418754946.760s, 0x2C, pmu, TDEV4, 29.27
1418755066.757s, 0x00, soc, THERMAL0, 28.56
1418755066.757s, 0x01, soc, THERMAL1, 28.98
1418755066.757s, 0x02, soc, CCC_THERMAL0, 28.56
1418755066.757s, 0x03, soc, CCC_THERMAL1, 29.40
1418755066.757s, 0x04, soc, CCC_THERMAL2, 28.98
1418755066.759s, 0x28, pmu, TJINT, 29.71
1418755066.764s, 0x29, pmu, TDEV1, 24.38
1418755066.769s, 0x2A, pmu, TDEV2, 25.68
1418755066.774s, 0x2B, pmu, TDEV3, 24.41
1418755066.778s, 0x2C, pmu, TDEV4, 29.35
1418755186.775s, 0x00, soc, THERMAL0, 28.14
1418755186.775s, 0x01, soc, THERMAL1, 28.98
1418755186.775s, 0x02, soc, CCC_THERMAL0, 28.56
1418755186.775s, 0x03, soc, CCC_THERMAL1, 29.40
1418755186.775s, 0x04, soc, CCC_THERMAL2, 28.98
1418755186.778s, 0x28, pmu, TJINT, 29.45
1418755186.782s, 0x29, pmu, TDEV1, 24.41
1418755186.787s, 0x2A, pmu, TDEV2, 25.71
1418755186.792s, 0x2B, pmu, TDEV3, 24.38
1418755186.797s, 0x2C, pmu, TDEV4, 29.27
1418755306.793s, 0x00, soc, THERMAL0, 28.14
1418755306.793s, 0x01, soc, THERMAL1, 28.98
1418755306.793s, 0x02, soc, CCC_THERMAL0, 28.98
1418755306.793s, 0x03, soc, CCC_THERMAL1, 29.40
1418755306.793s, 0x04, soc, CCC_THERMAL2, 28.98
1418755306.796s, 0x28, pmu, TJINT, 29.45
1418755306.801s, 0x29, pmu, TDEV1, 24.41
1418755306.805s, 0x2A, pmu, TDEV2, 25.74
1418755306.810s, 0x2B, pmu, TDEV3, 24.38
1418755306.815s, 0x2C, pmu, TDEV4, 29.39
1418755426.812s, 0x00, soc, THERMAL0, 28.56
1418755426.812s, 0x01, soc, THERMAL1, 28.98
1418755426.812s, 0x02, soc, CCC_THERMAL0, 28.56
1418755426.812s, 0x03, soc, CCC_THERMAL1, 29.40
1418755426.812s, 0x04, soc, CCC_THERMAL2, 28.98
1418755426.814s, 0x28, pmu, TJINT, 29.45
1418755426.819s, 0x29, pmu, TDEV1, 24.31
1418755426.824s, 0x2A, pmu, TDEV2, 25.68
1418755426.829s, 0x2B, pmu, TDEV3, 24.34
1418755426.833s, 0x2C, pmu, TDEV4, 29.35
1418755546.830s, 0x00, soc, THERMAL0, 28.56
1418755546.830s, 0x01, soc, THERMAL1, 28.98
1418755546.830s, 0x02, soc, CCC_THERMAL0, 28.56
1418755546.830s, 0x03, soc, CCC_THERMAL1, 29.40
1418755546.830s, 0x04, soc, CCC_THERMAL2, 28.98
1418755546.833s, 0x28, pmu, TJINT, 29.45
1418755546.837s, 0x29, pmu, TDEV1, 24.25
1418755546.842s, 0x2A, pmu, TDEV2, 25.61
1418755546.847s, 0x2B, pmu, TDEV3, 24.38
1418755546.852s, 0x2C, pmu, TDEV4, 29.23
1418755666.848s, 0x00, soc, THERMAL0, 28.14
1418755666.848s, 0x01, soc, THERMAL1, 28.98
1418755666.848s, 0x02, soc, CCC_THERMAL0, 28.56
1418755666.848s, 0x03, soc, CCC_THERMAL1, 29.40
1418755666.848s, 0x04, soc, CCC_THERMAL2, 28.98
1418755666.851s, 0x28, pmu, TJINT, 29.18
1418755666.856s, 0x29, pmu, TDEV1, 24.25
1418755666.860s, 0x2A, pmu, TDEV2, 25.68
1418755666.865s, 0x2B, pmu, TDEV3, 24.25
1418755666.870s, 0x2C, pmu, TDEV4, 29.27
1418755786.867s, 0x00, soc, THERMAL0, 28.56
1418755786.867s, 0x01, soc, THERMAL1, 28.98
1418755786.867s, 0x02, soc, CCC_THERMAL0, 28.98
1418755786.867s, 0x03, soc, CCC_THERMAL1, 29.40
1418755786.867s, 0x04, soc, CCC_THERMAL2, 28.98
1418755786.869s, 0x28, pmu, TJINT, 29.18
1418755786.874s, 0x29, pmu, TDEV1, 24.25
1418755786.879s, 0x2A, pmu, TDEV2, 25.61
1418755786.884s, 0x2B, pmu, TDEV3, 24.31
1418755786.888s, 0x2C, pmu, TDEV4, 29.23
1418755906.885s, 0x00, soc, THERMAL0, 28.14
1418755906.885s, 0x01, soc, THERMAL1, 28.56
1418755906.885s, 0x02, soc, CCC_THERMAL0, 28.56
1418755906.885s, 0x03, soc, CCC_THERMAL1, 29.40
1418755906.885s, 0x04, soc, CCC_THERMAL2, 28.98
1418755906.888s, 0x28, pmu, TJINT, 29.71
1418755906.892s, 0x29, pmu, TDEV1, 24.25
1418755906.897s, 0x2A, pmu, TDEV2, 25.61
1418755906.902s, 0x2B, pmu, TDEV3, 24.31
1418755906.907s, 0x2C, pmu, TDEV4, 29.23
1418756026.903s, 0x00, soc, THERMAL0, 28.14
1418756026.903s, 0x01, soc, THERMAL1, 28.56
1418756026.903s, 0x02, soc, CCC_THERMAL0, 28.56
1418756026.903s, 0x03, soc, CCC_THERMAL1, 28.98
1418756026.903s, 0x04, soc, CCC_THERMAL2, 28.98
1418756026.906s, 0x28, pmu, TJINT, 29.45
1418756026.911s, 0x29, pmu, TDEV1, 24.22
1418756026.915s, 0x2A, pmu, TDEV2, 25.58
1418756026.920s, 0x2B, pmu, TDEV3, 24.22
1418756026.925s, 0x2C, pmu, TDEV4, 29.19
1418756146.922s, 0x00, soc, THERMAL0, 28.14
1418756146.922s, 0x01, soc, THERMAL1, 28.56
1418756146.922s, 0x02, soc, CCC_THERMAL0, 28.14
1418756146.922s, 0x03, soc, CCC_THERMAL1, 28.98
1418756146.922s, 0x04, soc, CCC_THERMAL2, 28.56
1418756146.924s, 0x28, pmu, TJINT, 28.65
1418756146.929s, 0x29, pmu, TDEV1, 24.15
1418756146.934s, 0x2A, pmu, TDEV2, 25.54
1418756146.938s, 0x2B, pmu, TDEV3, 24.19
1418756146.943s, 0x2C, pmu, TDEV4, 29.19
1418756266.940s, 0x00, soc, THERMAL0, 28.14
1418756266.940s, 0x01, soc, THERMAL1, 28.56
1418756266.940s, 0x02, soc, CCC_THERMAL0, 28.14
1418756266.940s, 0x03, soc, CCC_THERMAL1, 29.40
1418756266.940s, 0x04, soc, CCC_THERMAL2, 28.98
1418756266.943s, 0x28, pmu, TJINT, 29.18
1418756266.947s, 0x29, pmu, TDEV1, 24.15
1418756266.952s, 0x2A, pmu, TDEV2, 25.48
1418756266.957s, 0x2B, pmu, TDEV3, 24.19
1418756266.962s, 0x2C, pmu, TDEV4, 29.11
1418756386.958s, 0x00, soc, THERMAL0, 28.14
1418756386.958s, 0x01, soc, THERMAL1, 28.98
1418756386.958s, 0x02, soc, CCC_THERMAL0, 28.56
1418756386.958s, 0x03, soc, CCC_THERMAL1, 29.40
1418756386.958s, 0x04, soc, CCC_THERMAL2, 28.98
1418756386.961s, 0x28, pmu, TJINT, 29.18
1418756386.966s, 0x29, pmu, TDEV1, 24.12
1418756386.970s, 0x2A, pmu, TDEV2, 25.51
1418756386.975s, 0x2B, pmu, TDEV3, 24.19
1418756386.980s, 0x2C, pmu, TDEV4, 29.07
1418756506.977s, 0x00, soc, THERMAL0, 28.14
1418756506.977s, 0x01, soc, THERMAL1, 28.56
1418756506.977s, 0x02, soc, CCC_THERMAL0, 28.56
1418756506.977s, 0x03, soc, CCC_THERMAL1, 28.98
1418756506.977s, 0x04, soc, CCC_THERMAL2, 28.98
1418756506.979s, 0x28, pmu, TJINT, 28.91
1418756506.984s, 0x29, pmu, TDEV1, 24.15
1418756506.989s, 0x2A, pmu, TDEV2, 25.48
1418756506.993s, 0x2B, pmu, TDEV3, 24.15
1418756506.998s, 0x2C, pmu, TDEV4, 29.07
1418756626.995s, 0x00, soc, THERMAL0, 28.14
1418756626.995s, 0x01, soc, THERMAL1, 28.98
1418756626.995s, 0x02, soc, CCC_THERMAL0, 28.56
1418756626.995s, 0x03, soc, CCC_THERMAL1, 28.98
1418756626.995s, 0x04, soc, CCC_THERMAL2, 28.56
1418756626.998s, 0x28, pmu, TJINT, 29.18
1418756627.002s, 0x29, pmu, TDEV1, 24.15
1418756627.007s, 0x2A, pmu, TDEV2, 25.48
1418756627.012s, 0x2B, pmu, TDEV3, 24.19
1418756627.016s, 0x2C, pmu, TDEV4, 29.07
1418756747.013s, 0x00, soc, THERMAL0, 28.14
1418756747.013s, 0x01, soc, THERMAL1, 29.40
1418756747.013s, 0x02, soc, CCC_THERMAL0, 28.56
1418756747.013s, 0x03, soc, CCC_THERMAL1, 28.98
1418756747.013s, 0x04, soc, CCC_THERMAL2, 28.98
1418756747.016s, 0x28, pmu, TJINT, 29.45
1418756747.021s, 0x29, pmu, TDEV1, 24.06
1418756747.025s, 0x2A, pmu, TDEV2, 25.48
1418756747.030s, 0x2B, pmu, TDEV3, 24.15
1418756747.035s, 0x2C, pmu, TDEV4, 29.11
1418756867.032s, 0x00, soc, THERMAL0, 28.14
1418756867.032s, 0x01, soc, THERMAL1, 28.98
1418756867.032s, 0x02, soc, CCC_THERMAL0, 28.14
1418756867.032s, 0x03, soc, CCC_THERMAL1, 29.40
1418756867.032s, 0x04, soc, CCC_THERMAL2, 28.98
1418756867.034s, 0x28, pmu, TJINT, 29.18
1418756867.039s, 0x29, pmu, TDEV1, 24.09
1418756867.044s, 0x2A, pmu, TDEV2, 25.34
1418756867.048s, 0x2B, pmu, TDEV3, 24.12
1418756867.053s, 0x2C, pmu, TDEV4, 29.07
1418756987.050s, 0x00, soc, THERMAL0, 28.14
1418756987.050s, 0x01, soc, THERMAL1, 28.56
1418756987.050s, 0x02, soc, CCC_THERMAL0, 28.14
1418756987.050s, 0x03, soc, CCC_THERMAL1, 29.40
1418756987.050s, 0x04, soc, CCC_THERMAL2, 28.56
1418756987.052s, 0x28, pmu, TJINT, 29.45
1418756987.057s, 0x29, pmu, TDEV1, 24.03
1418756987.062s, 0x2A, pmu, TDEV2, 25.38
1418756987.067s, 0x2B, pmu, TDEV3, 24.06
1418756987.071s, 0x2C, pmu, TDEV4, 28.96
1418757107.068s, 0x00, soc, THERMAL0, 28.56
1418757107.068s, 0x01, soc, THERMAL1, 28.56
1418757107.068s, 0x02, soc, CCC_THERMAL0, 28.14
1418757107.068s, 0x03, soc, CCC_THERMAL1, 28.98
1418757107.068s, 0x04, soc, CCC_THERMAL2, 28.56
1418757107.071s, 0x28, pmu, TJINT, 28.91
1418757107.076s, 0x29, pmu, TDEV1, 24.00
1418757107.080s, 0x2A, pmu, TDEV2, 25.34
1418757107.085s, 0x2B, pmu, TDEV3, 24.12
1418757107.090s, 0x2C, pmu, TDEV4, 28.99
1418757227.087s, 0x00, soc, THERMAL0, 27.71
1418757227.087s, 0x01, soc, THERMAL1, 28.56
1418757227.087s, 0x02, soc, CCC_THERMAL0, 28.56
1418757227.087s, 0x03, soc, CCC_THERMAL1, 28.98
1418757227.087s, 0x04, soc, CCC_THERMAL2, 28.56
1418757227.089s, 0x28, pmu, TJINT, 28.91
1418757227.094s, 0x29, pmu, TDEV1, 24.00
1418757227.099s, 0x2A, pmu, TDEV2, 25.34
1418757227.103s, 0x2B, pmu, TDEV3, 24.09
1418757227.108s, 0x2C, pmu, TDEV4, 28.96
1418757347.105s, 0x00, soc, THERMAL0, 28.14
1418757347.105s, 0x01, soc, THERMAL1, 28.56
1418757347.105s, 0x02, soc, CCC_THERMAL0, 28.98
1418757347.105s, 0x03, soc, CCC_THERMAL1, 29.40
1418757347.105s, 0x04, soc, CCC_THERMAL2, 28.98
1418757347.108s, 0x28, pmu, TJINT, 29.45
1418757347.112s, 0x29, pmu, TDEV1, 24.00
1418757347.117s, 0x2A, pmu, TDEV2, 25.44
1418757347.122s, 0x2B, pmu, TDEV3, 24.03
1418757347.126s, 0x2C, pmu, TDEV4, 29.03
1418757467.123s, 0x00, soc, THERMAL0, 28.14
1418757467.123s, 0x01, soc, THERMAL1, 28.56
1418757467.123s, 0x02, soc, CCC_THERMAL0, 28.56
1418757467.123s, 0x03, soc, CCC_THERMAL1, 29.40
1418757467.123s, 0x04, soc, CCC_THERMAL2, 28.56
1418757467.126s, 0x28, pmu, TJINT, 28.91
1418757467.131s, 0x29, pmu, TDEV1, 23.94
1418757467.135s, 0x2A, pmu, TDEV2, 25.28
1418757467.140s, 0x2B, pmu, TDEV3, 24.00
1418757467.145s, 0x2C, pmu, TDEV4, 28.92
1418757587.932s, 0x00, soc, THERMAL0, 27.71
1418757587.932s, 0x01, soc, THERMAL1, 28.56
1418757587.932s, 0x02, soc, CCC_THERMAL0, 28.14
1418757587.932s, 0x03, soc, CCC_THERMAL1, 28.98
1418757587.932s, 0x04, soc, CCC_THERMAL2, 28.98
1418757587.934s, 0x28, pmu, TJINT, 29.18
1418757587.939s, 0x29, pmu, TDEV1, 23.94
1418757587.944s, 0x2A, pmu, TDEV2, 25.34
1418757587.949s, 0x2B, pmu, TDEV3, 24.00
1418757587.953s, 0x2C, pmu, TDEV4, 28.99
1418757641.755s, wrote at: 2014.12.16.19.20.42
7.94
1418757919.715s, 0x29, pmu, TDEV1, 27.71
1418757919.720s, 0x2A, pmu, TDEV2, 31.80
1418757919.725s, 0x2B, pmu, TDEV3, 29.86
1418757919.729s, 0x2C, pmu, TDEV4, 37.52
1418758039.724s, 0x00, soc, THERMAL0, 37.84
1418758039.724s, 0x01, soc, THERMAL1, 39.53
1418758039.724s, 0x02, soc, CCC_THERMAL0, 38.68
1418758039.724s, 0x03, soc, CCC_THERMAL1, 39.53
1418758039.724s, 0x04, soc, CCC_THERMAL2, 38.68
1418758039.726s, 0x28, pmu, TJINT, 39.27
1418758039.731s, 0x29, pmu, TDEV1, 28.80
1418758039.736s, 0x2A, pmu, TDEV2, 32.83
1418758039.740s, 0x2B, pmu, TDEV3, 30.81
1418758039.745s, 0x2C, pmu, TDEV4, 38.78
1418758106.305s, 0x00, soc, THERMAL0, 38.68
1418758106.305s, 0x01, soc, THERMAL1, 39.10
1418758106.306s, 0x02, soc, CCC_THERMAL0, 39.10
1418758106.306s, 0x03, soc, CCC_THERMAL1, 40.37
1418758106.306s, 0x04, soc, CCC_THERMAL2, 39.53
1418758106.308s, 0x28, pmu, TJINT, 39.53
1418758106.313s, 0x29, pmu, TDEV1, 29.35
1418758106.318s, 0x2A, pmu, TDEV2, 33.38
1418758106.322s, 0x2B, pmu, TDEV3, 31.28
1418758106.327s, 0x2C, pmu, TDEV4, 39.19
1418758227.228s, 0x00, soc, THERMAL0, 39.53
1418758227.228s, 0x01, soc, THERMAL1, 40.37
1418758227.228s, 0x02, soc, CCC_THERMAL0, 39.95
1418758227.228s, 0x03, soc, CCC_THERMAL1, 40.79
1418758227.228s, 0x04, soc, CCC_THERMAL2, 40.79
1418758227.231s, 0x28, pmu, TJINT, 40.59
1418758227.236s, 0x29, pmu, TDEV1, 29.94
1418758227.240s, 0x2A, pmu, TDEV2, 34.10
1418758227.245s, 0x2B, pmu, TDEV3, 31.88
1418758227.250s, 0x2C, pmu, TDEV4, 40.17
1418758347.244s, 0x00, soc, THERMAL0, 40.37
1418758347.244s, 0x01, soc, THERMAL1, 41.64
1418758347.244s, 0x02, soc, CCC_THERMAL0, 40.79
1418758347.244s, 0x03, soc, CCC_THERMAL1, 42.06
1418758347.244s, 0x04, soc, CCC_THERMAL2, 41.21
1418758347.247s, 0x28, pmu, TJINT, 40.59
1418758347.252s, 0x29, pmu, TDEV1, 30.52
1418758347.256s, 0x2A, pmu, TDEV2, 34.73
1418758347.261s, 0x2B, pmu, TDEV3, 32.51
1418758347.266s, 0x2C, pmu, TDEV4, 40.74
1418758467.260s, 0x00, soc, THERMAL0, 41.21
1418758467.260s, 0x01, soc, THERMAL1, 41.64
1418758467.260s, 0x02, soc, CCC_THERMAL0, 41.64
1418758467.260s, 0x03, soc, CCC_THERMAL1, 42.48
1418758467.260s, 0x04, soc, CCC_THERMAL2, 42.48
1418758467.263s, 0x28, pmu, TJINT, 40.86
1418758467.267s, 0x29, pmu, TDEV1, 31.02
1418758467.272s, 0x2A, pmu, TDEV2, 35.29
1418758467.277s, 0x2B, pmu, TDEV3, 32.87
1418758467.282s, 0x2C, pmu, TDEV4, 41.25
1418758587.276s, 0x00, soc, THERMAL0, 41.21
1418758587.276s, 0x01, soc, THERMAL1, 42.90
1418758587.276s, 0x02, soc, CCC_THERMAL0, 41.64
1418758587.276s, 0x03, soc, CCC_THERMAL1, 42.90
1418758587.276s, 0x04, soc, CCC_THERMAL2, 42.90
1418758587.279s, 0x28, pmu, TJINT, 42.18
1418758587.283s, 0x29, pmu, TDEV1, 31.45
1418758587.288s, 0x2A, pmu, TDEV2, 35.70
1418758587.293s, 0x2B, pmu, TDEV3, 33.24
1418758587.297s, 0x2C, pmu, TDEV4, 41.64
1418758701.573s, 0x00, soc, THERMAL0, 41.64
1418758701.573s, 0x01, soc, THERMAL1, 42.48
1418758701.573s, 0x02, soc, CCC_THERMAL0, 42.48
1418758701.573s, 0x03, soc, CCC_THERMAL1, 43.32
1418758701.573s, 0x04, soc, CCC_THERMAL2, 42.48
1418758701.575s, 0x28, pmu, TJINT, 42.72
1418758701.580s, 0x29, pmu, TDEV1, 31.71
1418758701.585s, 0x2A, pmu, TDEV2, 35.90
1418758701.589s, 0x2B, pmu, TDEV3, 33.43
1418758701.594s, 0x2C, pmu, TDEV4, 42.04
1418758822.527s, 0x00, soc, THERMAL0, 42.48
1418758822.527s, 0x01, soc, THERMAL1, 43.32
1418758822.527s, 0x02, soc, CCC_THERMAL0, 42.48
1418758822.527s, 0x03, soc, CCC_THERMAL1, 43.75
1418758822.527s, 0x04, soc, CCC_THERMAL2, 43.75
1418758822.530s, 0x28, pmu, TJINT, 42.18
1418758822.534s, 0x29, pmu, TDEV1, 31.97
1418758822.539s, 0x2A, pmu, TDEV2, 36.11
1418758822.544s, 0x2B, pmu, TDEV3, 33.76
1418758822.549s, 0x2C, pmu, TDEV4, 42.31
1418758942.543s, 0x00, soc, THERMAL0, 42.48
1418758942.543s, 0x01, soc, THERMAL1, 43.32
1418758942.543s, 0x02, soc, CCC_THERMAL0, 42.90
1418758942.543s, 0x03, soc, CCC_THERMAL1, 44.17
1418758942.543s, 0x04, soc, CCC_THERMAL2, 42.90
1418758942.545s, 0x28, pmu, TJINT, 42.45
1418758942.550s, 0x29, pmu, TDEV1, 32.19
1418758942.555s, 0x2A, pmu, TDEV2, 36.43
1418758942.560s, 0x2B, pmu, TDEV3, 33.95
1418758942.564s, 0x2C, pmu, TDEV4, 42.59
1418759062.559s, 0x00, soc, THERMAL0, 42.90
1418759062.559s, 0x01, soc, THERMAL1, 43.75
1418759062.559s, 0x02, soc, CCC_THERMAL0, 43.32
1418759062.559s, 0x03, soc, CCC_THERMAL1, 44.17
1418759062.559s, 0x04, soc, CCC_THERMAL2, 43.75
1418759062.561s, 0x28, pmu, TJINT, 42.98
1418759062.566s, 0x29, pmu, TDEV1, 32.42
1418759062.571s, 0x2A, pmu, TDEV2, 36.64
1418759062.575s, 0x2B, pmu, TDEV3, 34.10
1418759062.580s, 0x2C, pmu, TDEV4, 42.72
1418759182.574s, 0x00, soc, THERMAL0, 42.90
1418759182.574s, 0x01, soc, THERMAL1, 43.75
1418759182.575s, 0x02, soc, CCC_THERMAL0, 43.75
1418759182.575s, 0x03, soc, CCC_THERMAL1, 44.59
1418759182.575s, 0x04, soc, CCC_THERMAL2, 43.75
1418759182.577s, 0x28, pmu, TJINT, 43.78
1418759182.582s, 0x29, pmu, TDEV1, 32.55
1418759182.587s, 0x2A, pmu, TDEV2, 36.70
1418759182.591s, 0x2B, pmu, TDEV3, 34.10
1418759182.596s, 0x2C, pmu, TDEV4, 42.79
1418759302.590s, 0x00, soc, THERMAL0, 43.32
1418759302.590s, 0x01, soc, THERMAL1, 43.75
1418759302.590s, 0x02, soc, CCC_THERMAL0, 43.32
1418759302.590s, 0x03, soc, CCC_THERMAL1, 44.59
1418759302.590s, 0x04, soc, CCC_THERMAL2, 43.75
1418759302.593s, 0x28, pmu, TJINT, 42.98
1418759302.598s, 0x29, pmu, TDEV1, 32.60
1418759302.602s, 0x2A, pmu, TDEV2, 36.75
1418759302.607s, 0x2B, pmu, TDEV3, 34.15
1418759302.612s, 0x2C, pmu, TDEV4, 42.86
1418759422.606s, 0x00, soc, THERMAL0, 42.90
1418759422.606s, 0x01, soc, THERMAL1, 43.75
1418759422.606s, 0x02, soc, CCC_THERMAL0, 43.75
1418759422.606s, 0x03, soc, CCC_THERMAL1, 45.01
1418759422.606s, 0x04, soc, CCC_THERMAL2, 43.75
1418759422.609s, 0x28, pmu, TJINT, 42.72
1418759422.613s, 0x29, pmu, TDEV1, 32.64
1418759422.618s, 0x2A, pmu, TDEV2, 36.92
1418759422.623s, 0x2B, pmu, TDEV3, 34.19
1418759422.628s, 0x2C, pmu, TDEV4, 42.86
1418759542.622s, 0x00, soc, THERMAL0, 43.75
1418759542.622s, 0x01, soc, THERMAL1, 43.75
1418759542.622s, 0x02, soc, CCC_THERMAL0, 43.32
1418759542.622s, 0x03, soc, CCC_THERMAL1, 44.59
1418759542.622s, 0x04, soc, CCC_THERMAL2, 44.59
1418759542.625s, 0x28, pmu, TJINT, 43.51
1418759542.629s, 0x29, pmu, TDEV1, 32.69
1418759542.634s, 0x2A, pmu, TDEV2, 36.86
1418759542.639s, 0x2B, pmu, TDEV3, 34.34
1418759542.643s, 0x2C, pmu, TDEV4, 43.14
1418759662.638s, 0x00, soc, THERMAL0, 42.90
1418759662.638s, 0x01, soc, THERMAL1, 43.75
1418759662.638s, 0x02, soc, CCC_THERMAL0, 43.75
1418759662.638s, 0x03, soc, CCC_THERMAL1, 45.01
1418759662.638s, 0x04, soc, CCC_THERMAL2, 44.17
1418759662.640s, 0x28, pmu, TJINT, 43.51
1418759662.645s, 0x29, pmu, TDEV1, 32.78
1418759662.650s, 0x2A, pmu, TDEV2, 36.97
1418759662.655s, 0x2B, pmu, TDEV3, 34.29
1418759662.659s, 0x2C, pmu, TDEV4, 43.00
1418759782.654s, 0x00, soc, THERMAL0, 43.75
1418759782.654s, 0x01, soc, THERMAL1, 44.17
1418759782.654s, 0x02, soc, CCC_THERMAL0, 43.75
1418759782.654s, 0x03, soc, CCC_THERMAL1, 44.59
1418759782.654s, 0x04, soc, CCC_THERMAL2, 44.17
1418759782.656s, 0x28, pmu, TJINT, 43.25
1418759782.661s, 0x29, pmu, TDEV1, 32.74
1418759782.666s, 0x2A, pmu, TDEV2, 36.97
1418759782.670s, 0x2B, pmu, TDEV3, 34.39
1418759782.675s, 0x2C, pmu, TDEV4, 43.00
1418759902.669s, 0x00, soc, THERMAL0, 42.90
1418759902.669s, 0x01, soc, THERMAL1, 43.75
1418759902.669s, 0x02, soc, CCC_THERMAL0, 43.75
1418759902.669s, 0x03, soc, CCC_THERMAL1, 44.59
1418759902.670s, 0x04, soc, CCC_THERMAL2, 44.17
1418759902.672s, 0x28, pmu, TJINT, 43.51
1418759902.677s, 0x29, pmu, TDEV1, 32.78
1418759902.682s, 0x2A, pmu, TDEV2, 37.02
1418759902.686s, 0x2B, pmu, TDEV3, 34.44
1418759902.691s, 0x2C, pmu, TDEV4, 43.00
1418759942.618s, 0x00, soc, THERMAL0, 43.32
1418759942.618s, 0x01, soc, THERMAL1, 44.17
1418759942.618s, 0x02, soc, CCC_THERMAL0, 43.32
1418759942.618s, 0x03, soc, CCC_THERMAL1, 44.59
1418759942.618s, 0x04, soc, CCC_THERMAL2, 43.75
1418759942.621s, 0x28, pmu, TJINT, 43.25
1418759942.625s, 0x29, pmu, TDEV1, 32.83
1418759942.630s, 0x2A, pmu, TDEV2, 36.97
1418759942.635s, 0x2B, pmu, TDEV3, 34.34
1418759942.640s, 0x2C, pmu, TDEV4, 43.14
1418760064.001s, 0x00, soc, THERMAL0, 42.90
1418760064.001s, 0x01, soc, THERMAL1, 43.75
1418760064.001s, 0x02, soc, CCC_THERMAL0, 43.32
1418760064.001s, 0x03, soc, CCC_THERMAL1, 44.59
1418760064.001s, 0x04, soc, CCC_THERMAL2, 43.75
1418760064.003s, 0x28, pmu, TJINT, 42.98
1418760064.008s, 0x29, pmu, TDEV1, 32.33
1418760064.013s, 0x2A, pmu, TDEV2, 36.59
1418760064.018s, 0x2B, pmu, TDEV3, 34.00
1418760064.022s, 0x2C, pmu, TDEV4, 42.79
1418760099.897s, 0x00, soc, THERMAL0, 42.48
1418760099.897s, 0x01, soc, THERMAL1, 43.32
1418760099.897s, 0x02, soc, CCC_THERMAL0, 42.90
1418760099.897s, 0x03, soc, CCC_THERMAL1, 44.59
1418760099.897s, 0x04, soc, CCC_THERMAL2, 44.17
1418760099.899s, 0x28, pmu, TJINT, 43.78
1418760099.904s, 0x29, pmu, TDEV1, 32.42
1418760099.909s, 0x2A, pmu, TDEV2, 36.64
1418760099.913s, 0x2B, pmu, TDEV3, 34.00
1418760099.918s, 0x2C, pmu, TDEV4, 42.86
1418760104.352s, 0x00, soc, THERMAL0, 42.06
1418760104.352s, 0x01, soc, THERMAL1, 42.90
1418760104.352s, 0x02, soc, CCC_THERMAL0, 42.48
1418760104.352s, 0x03, soc, CCC_THERMAL1, 43.75
1418760104.352s, 0x04, soc, CCC_THERMAL2, 43.32
1418760104.354s, 0x28, pmu, TJINT, 43.25
1418760104.359s, 0x29, pmu, TDEV1, 32.51
1418760104.364s, 0x2A, pmu, TDEV2, 36.75
1418760104.369s, 0x2B, pmu, TDEV3, 34.05
1418760104.373s, 0x2C, pmu, TDEV4, 42.79
1418760106.591s, 0x00, soc, THERMAL0, 42.06
1418760106.591s, 0x01, soc, THERMAL1, 42.90
1418760106.591s, 0x02, soc, CCC_THERMAL0, 42.48
1418760106.591s, 0x03, soc, CCC_THERMAL1, 43.75
1418760106.591s, 0x04, soc, CCC_THERMAL2, 42.90
1418760106.593s, 0x28, pmu, TJINT, 43.25
1418760106.598s, 0x29, pmu, TDEV1, 32.55
1418760106.603s, 0x2A, pmu, TDEV2, 36.75
1418760106.607s, 0x2B, pmu, TDEV3, 34.00
1418760106.612s, 0x2C, pmu, TDEV4, 42.79
1418760109.111s, 0x00, soc, THERMAL0, 42.06
1418760109.111s, 0x01, soc, THERMAL1, 43.32
1418760109.111s, 0x02, soc, CCC_THERMAL0, 42.06
1418760109.111s, 0x03, soc, CCC_THERMAL1, 43.75
1418760109.111s, 0x04, soc, CCC_THERMAL2, 42.90
1418760109.113s, 0x28, pmu, TJINT, 43.25
1418760109.118s, 0x29, pmu, TDEV1, 32.51
1418760109.123s, 0x2A, pmu, TDEV2, 36.86
1418760109.128s, 0x2B, pmu, TDEV3, 34.15
1418760109.132s, 0x2C, pmu, TDEV4, 42.79
1418760112.666s, 0x00, soc, THERMAL0, 42.48
1418760112.666s, 0x01, soc, THERMAL1, 43.32
1418760112.666s, 0x02, soc, CCC_THERMAL0, 42.90
1418760112.666s, 0x03, soc, CCC_THERMAL1, 44.17
1418760112.666s, 0x04, soc, CCC_THERMAL2, 42.90
1418760112.668s, 0x28, pmu, TJINT, 42.98
1418760112.673s, 0x29, pmu, TDEV1, 32.60
