s, 0x29, pmu, TDEV1, 26.08
1418399360.165s, 0x29, pmu, TDEV1, 26.22
1418399363.172s, 0x29, pmu, TDEV1, 26.22
1418399363.533s, 0x04, soc, CCC_THERMAL2, 27.29
1418399363.689s, 0x2A, pmu, TDEV2, 27.10
1418399364.552s, 0x03, soc, CCC_THERMAL1, 26.87
1418399366.184s, 0x29, pmu, TDEV1, 26.22
1418399366.618s, 0x28, pmu, TJINT, 29.18
1418399366.834s, 0x2B, pmu, TDEV3, 26.08
1418399369.198s, 0x29, pmu, TDEV1, 26.19
1418399369.584s, 0x2C, pmu, TDEV4, 28.72
1418399369.725s, 0x00, soc, THERMAL0, 27.71
1418399369.725s, 0x01, soc, THERMAL1, 28.14
1418399369.725s, 0x02, soc, CCC_THERMAL0, 26.87
1418399372.210s, 0x29, pmu, TDEV1, 26.22
1418399375.217s, 0x29, pmu, TDEV1, 26.19
1418399378.224s, 0x29, pmu, TDEV1, 26.22
1418399379.560s, 0x03, soc, CCC_THERMAL1, 26.87
1418399379.730s, 0x00, soc, THERMAL0, 27.29
1418399379.730s, 0x01, soc, THERMAL1, 28.56
1418399379.730s, 0x02, soc, CCC_THERMAL0, 26.45
1418399381.231s, 0x29, pmu, TDEV1, 26.22
1418399384.238s, 0x29, pmu, TDEV1, 26.19
1418399386.844s, 0x2B, pmu, TDEV3, 26.08
1418399387.250s, 0x29, pmu, TDEV1, 26.22
1418399389.740s, 0x00, soc, THERMAL0, 27.29
1418399389.740s, 0x01, soc, THERMAL1, 28.56
1418399389.740s, 0x02, soc, CCC_THERMAL0, 26.03
1418399390.257s, 0x29, pmu, TDEV1, 26.19
1418399393.264s, 0x29, pmu, TDEV1, 26.22
1418399393.535s, 0x04, soc, CCC_THERMAL2, 27.29
1418399393.701s, 0x2A, pmu, TDEV2, 27.02
1418399394.564s, 0x03, soc, CCC_THERMAL1, 27.29
1418399394.599s, 0x2C, pmu, TDEV4, 28.76
1418399396.271s, 0x29, pmu, TDEV1, 26.29
1418399399.278s, 0x29, pmu, TDEV1, 26.29
1418399399.750s, 0x00, soc, THERMAL0, 27.29
1418399399.750s, 0x01, soc, THERMAL1, 28.56
1418399399.750s, 0x02, soc, CCC_THERMAL0, 26.45
1418399402.285s, 0x29, pmu, TDEV1, 26.25
1418399405.292s, 0x29, pmu, TDEV1, 26.22
1418399406.630s, 0x28, pmu, TJINT, 29.18
1418399406.856s, 0x2B, pmu, TDEV3, 26.15
1418399408.306s, 0x29, pmu, TDEV1, 26.22
1418399409.572s, 0x03, soc, CCC_THERMAL1, 26.45
1418399409.752s, 0x00, soc, THERMAL0, 27.29
1418399409.752s, 0x01, soc, THERMAL1, 28.56
1418399409.752s, 0x02, soc, CCC_THERMAL0, 26.03
1418399411.313s, 0x29, pmu, TDEV1, 26.19
1418399414.320s, 0x29, pmu, TDEV1, 26.29
1418399417.328s, 0x29, pmu, TDEV1, 26.25
1418399419.612s, 0x2C, pmu, TDEV4, 28.80
1418399419.762s, 0x00, soc, THERMAL0, 27.71
1418399419.762s, 0x01, soc, THERMAL1, 28.56
1418399419.762s, 0x02, soc, CCC_THERMAL0, 26.87
1418399420.339s, 0x29, pmu, TDEV1, 26.25
1418399423.346s, 0x29, pmu, TDEV1, 26.25
1418399423.537s, 0x04, soc, CCC_THERMAL2, 27.29
1418399423.713s, 0x2A, pmu, TDEV2, 27.10
1418399424.576s, 0x03, soc, CCC_THERMAL1, 26.45
1418399426.358s, 0x29, pmu, TDEV1, 26.19
1418399426.865s, 0x2B, pmu, TDEV3, 26.12
1418399429.370s, 0x29, pmu, TDEV1, 26.25
1418399429.772s, 0x00, soc, THERMAL0, 27.71
1418399429.772s, 0x01, soc, THERMAL1, 28.98
1418399429.772s, 0x02, soc, CCC_THERMAL0, 26.45
1418399432.376s, 0x29, pmu, TDEV1, 26.22
1418399435.812s, 0x29, pmu, TDEV1, 26.25
1418399439.506s, 0x29, pmu, TDEV1, 26.29
1418399440.679s, 0x00, soc, THERMAL0, 27.29
1418399440.679s, 0x01, soc, THERMAL1, 28.56
1418399440.679s, 0x02, soc, CCC_THERMAL0, 26.87
1418399440.679s, 0x03, soc, CCC_THERMAL1, 26.45
1418399442.512s, 0x29, pmu, TDEV1, 26.25
1418399444.625s, 0x2C, pmu, TDEV4, 28.80
1418399445.523s, 0x29, pmu, TDEV1, 26.25
1418399446.640s, 0x28, pmu, TJINT, 29.18
1418399446.876s, 0x2B, pmu, TDEV3, 26.15
1418399448.538s, 0x29, pmu, TDEV1, 26.29
1418399450.687s, 0x00, soc, THERMAL0, 27.71
1418399450.687s, 0x01, soc, THERMAL1, 28.14
1418399450.687s, 0x02, soc, CCC_THERMAL0, 26.45
1418399451.545s, 0x29, pmu, TDEV1, 26.25
1418399453.543s, 0x04, soc, CCC_THERMAL2, 27.29
1418399453.718s, 0x2A, pmu, TDEV2, 27.17
1418399454.557s, 0x29, pmu, TDEV1, 26.32
